day,temp
1,4.8
8,1.3
15,5.2
22,3.2
29,5
36,7.2
43,5.1
50,9.2
57,10.8
64,8.6
71,11.1
78,8.2
85,13.5
92,13.2
99,11.8
106,13.4
113,14.2
120,15.8
127,16.3
134,18.2
141,20.8
148,21
155,21.3
162,21.7
169,25
176,24.1
183,26.1
190,24.7
197,24.5
204,27.4
211,26.6
218,25.8
225,26.3
232,25.1
239,22.8
246,22.5
253,22.2
260,21.1
267,19.1
274,17.9
281,15.5
288,11.6
295,14.1
302,11.6
309,8.6
316,10.8
323,8.5
330,6
337,3
344,3.8
351,5.5
358,5.4
365,5.8
